Date_time,VIX,SP500,US Treasury securities
2019-04-30,13.02,2937.14,2.43
2019-05-01,12.51,2952.33,2.42
2019-05-02,14.75,2922.16,2.44
2019-05-03,12.5,2929.21,2.42
2019-05-06,20.36,2908.89,2.43
2019-05-07,18.54,2913.03,2.44
2019-05-08,21.96,2879.61,2.42
2019-05-09,26.44,2859.84,2.43
2019-05-10,20.69,2863.1,2.42
2019-05-13,22.85,2840.19,2.41
2019-05-14,22.76,2820.12,2.41
2019-05-15,20.35,2820.38,2.4
2019-05-16,16.14,2855.8,2.4
2019-05-17,17.11,2858.6,2.39
2019-05-20,18.77,2841.94,2.39
2019-05-21,15.81,2854.02,2.37
2019-05-22,14.5,2856.06,2.36
2019-05-23,16.44,2836.7,2.38
2019-05-24,15.78,2832.41,2.37
2019-05-28,16.84,2830.03,2.35
2019-05-29,19.04,2790.25,2.35
2019-05-30,17.18,2786.94,2.37
2019-05-31,19.72,2766.15,2.35
2019-06-03,19.3,2751.53,2.36
2019-06-04,18.52,2762.64,2.34
2019-06-05,16.45,2818.09,2.31
2019-06-06,15.24,2828.51,2.32
2019-06-07,14.44,2852.87,2.3
2019-06-10,15.5,2885.83,2.3
2019-06-11,14.85,2903.27,2.27
2019-06-12,15.29,2882.73,2.19
2019-06-13,14.85,2886.24,2.24
2019-06-14,15.16,2886.82,2.23
2019-06-17,15.36,2889.75,2.22
2019-06-18,15.07,2906.71,2.18
2019-06-19,15.32,2920.55,2.14
2019-06-20,13.54,2949.6,2.17
2019-06-21,14.68,2952.71,2.16
2019-06-24,16.22,2951.42,2.12
2019-06-25,15.8,2945.78,2.11
2019-06-26,17.03,2926.07,2.11
2019-06-27,16.85,2919.66,2.19
2019-06-28,16.64,2932.94,2.18
2019-07-01,13.2,2971.41,2.17
2019-07-02,12.31,2964.66,2.21
2019-07-03,10.53,2978.08,2.25
2019-07-05,11.4,2984.25,2.26
2019-07-08,12.31,2979.77,2.23
2019-07-09,12.05,2965.52,2.22
2019-07-10,10.65,2989.3,2.18
2019-07-11,10.09,2999.62,2.17
2019-07-12,9.9,3003.36,2.16
2019-07-15,10.95,3017.8,2.17
2019-07-16,10.98,3012.13,2.16
2019-07-17,11.59,3005.1,2.13
2019-07-18,13.4,2978.87,2.11
2019-07-19,12.68,3004.26,2.11
2019-07-22,15.05,2981.93,2.13
2019-07-23,13.59,2994.74,2.12
2019-07-24,13.39,2998.77,2.1
2019-07-25,12.78,3016.26,2.16
2019-07-26,12.23,3013.25,2.13
2019-07-29,12.69,3024.47,2.12
2019-07-30,14.33,3007.66,2.07
2019-07-31,14.44,3016.22,2.01
2019-08-01,15.57,2980.32,2.11
2019-08-02,19.5,2943.9,2.11
2019-08-05,24.12,2898.07,2.07
2019-08-06,24.32,2861.18,2.05
2019-08-07,25.56,2858.65,2.02
2019-08-08,19.66,2896.21,2.09
2019-08-09,16.76,2930.51,2.05
2019-08-12,21.47,2907.07,2.09
2019-08-13,22.08,2880.72,2.05
2019-08-14,17.62,2894.15,1.98
2019-08-15,24.19,2846.2,2.08
2019-08-16,22.5,2864.74,2.05
2019-08-19,17.48,2913.48,2.06
2019-08-20,17.64,2919.01,2.05
2019-08-21,16.25,2922.04,2.03
2019-08-22,15.81,2930.94,2.1
2019-08-23,19.01,2911.07,2.07
2019-08-26,22.28,2866.7,2.09
2019-08-27,19.12,2893.14,2.07
2019-08-28,22.0,2861.28,2.07
2019-08-29,17.44,2910.37,2.1
2019-08-30,16.81,2937.09,2.1
2019-09-03,20.76,2909.01,2.06
2019-09-04,16.87,2924.67,2.05
2019-09-05,14.91,2960.6,2.05
2019-09-06,14.16,2980.33,2.05
2019-09-09,13.73,2988.43,2.04
2019-09-10,14.59,2971.01,2.04
2019-09-11,14.1,2981.41,2.01
2019-09-12,13.24,3009.08,1.99
2019-09-13,13.06,3012.21,1.99
2019-09-16,15.04,2996.41,2.08
2019-09-17,14.95,2995.67,2.1
2019-09-18,15.15,3001.5,1.94
2019-09-19,14.1,3010.36,2.01
2019-09-20,12.2,3008.42,1.95
2019-09-23,12.43,2983.5,1.94
2019-09-24,13.49,3002.43,1.9
2019-09-25,17.77,2968.35,1.8
2019-09-26,15.51,2985.73,1.91
2019-09-27,15.14,2985.47,1.9
2019-09-30,16.97,2967.07,1.91
2019-10-01,15.26,2983.69,1.79
2019-10-02,20.31,2924.78,1.75
2019-10-03,21.01,2885.38,1.78
2019-10-04,18.7,2918.56,1.73
2019-10-07,18.43,2944.23,1.76
2019-10-08,19.89,2920.4,1.69
2019-10-09,19.39,2911.1,1.69
2019-10-10,19.9,2918.55,1.74
2019-10-11,16.93,2963.07,1.76
2019-10-14,16.09,2965.81,1.76
2019-10-15,13.44,2973.61,1.74
2019-10-16,13.05,2989.68,1.71
2019-10-17,12.12,3000.77,1.74
2019-10-18,12.89,2996.84,1.75
2019-10-21,13.46,2996.48,1.76
2019-10-22,12.53,3010.73,1.75
2019-10-23,13.46,2994.01,1.74
2019-10-24,12.17,3014.78,1.75
2019-10-25,12.07,3003.32,1.73
2019-10-28,11.54,3032.12,1.74
2019-10-29,12.19,3035.39,1.66
2019-10-30,12.21,3039.74,1.61
2019-10-31,11.67,3046.9,1.59
2019-11-01,10.81,3050.72,1.58
2019-11-04,11.17,3078.96,1.58
2019-11-05,11.58,3080.8,1.56
2019-11-06,11.14,3075.1,1.55
2019-11-07,10.04,3087.02,1.57
2019-11-08,10.15,3081.25,1.56
2019-11-11,9.3,3080.33,1.56
2019-11-12,10.87,3089.28,1.56
2019-11-13,11.93,3084.18,1.56
2019-11-14,11.46,3090.75,1.59
2019-11-15,10.86,3107.92,1.59
2019-11-18,9.67,3117.91,1.59
2019-11-19,10.12,3127.45,1.58
2019-11-20,10.66,3114.66,1.57
2019-11-21,10.75,3108.49,1.57
2019-11-22,10.53,3111.41,1.58
2019-11-25,10.36,3117.44,1.6
2019-11-26,9.92,3134.85,1.63
2019-11-27,9.69,3145.49,1.65
2019-11-29,11.36,3147.18,1.62
2019-12-02,13.29,3143.85,1.6
2019-12-03,19.35,3087.41,1.56
2019-12-04,15.88,3103.5,1.59
2019-12-05,14.54,3119.21,1.52
2019-12-06,12.47,3134.62,1.52
2019-12-09,14.7,3141.86,1.54
2019-12-10,16.58,3135.36,1.53
2019-12-11,16.73,3135.75,1.54
2019-12-12,16.25,3141.23,1.57
2019-12-13,14.94,3166.65,1.55
2019-12-16,11.01,3183.63,1.57
2019-12-17,11.35,3195.4,1.56
2019-12-18,10.71,3195.21,1.56
2019-12-19,10.26,3192.32,1.54
2019-12-20,8.82,3223.33,1.57
2019-12-23,10.37,3226.05,1.57
2019-12-24,9.84,3225.45,1.55
2019-12-26,10.11,3227.2,1.59
2019-12-27,10.32,3247.23,1.56
2019-12-30,10.99,3240.09,1.51
2019-12-31,14.47,3215.18,1.48
2020-01-02,12.44,3244.67,1.53
2020-01-03,14.88,3226.36,1.52
2020-01-06,15.89,3217.55,1.54
2020-01-07,13.2,3241.86,1.52
2020-01-08,13.43,3238.59,1.5
2020-01-09,11.65,3266.03,1.53
2020-01-10,10.51,3281.81,1.52
2020-01-13,11.39,3271.13,1.54
2020-01-14,10.29,3285.35,1.53
2020-01-15,10.35,3282.27,1.53
2020-01-16,9.49,3302.97,1.54
2020-01-17,9.73,3323.66,1.54
2020-01-21,11.82,3321.03,1.52
2020-01-22,11.25,3330.02,1.52
2020-01-23,11.0,3315.77,1.55
2020-01-24,11.39,3333.1,1.54
2020-01-27,14.58,3247.16,1.53
2020-01-28,19.12,3255.35,1.53
2020-01-29,16.88,3289.46,1.52
2020-01-30,20.19,3256.45,1.59
2020-01-31,18.23,3282.33,1.56
2020-02-03,20.09,3235.66,1.56
2020-02-04,16.29,3280.61,1.55
2020-02-05,14.74,3324.91,1.55
2020-02-06,13.95,3344.92,1.59
2020-02-07,14.38,3335.54,1.57
2020-02-10,15.54,3318.28,1.58
2020-02-11,12.3,3365.87,1.57
2020-02-12,11.97,3370.5,1.57
2020-02-13,12.9,3365.9,1.59
2020-02-14,11.85,3378.08,1.6
2020-02-18,13.94,3369.04,1.61
2020-02-19,12.27,3380.39,1.61
2020-02-20,12.91,3380.45,1.61
2020-02-21,15.93,3360.5,1.6
2020-02-24,27.46,3257.61,1.6
2020-02-25,26.81,3238.94,1.59
2020-02-26,33.12,3139.9,1.59
2020-02-27,40.94,3062.54,1.56
2020-02-28,60.19,2916.9,1.45
2020-03-02,49.32,2974.28,1.41
2020-03-03,42.37,3096.46,1.11
2020-03-04,38.69,3045.75,1.0
2020-03-05,45.0,3075.7,0.92
2020-03-06,59.81,2954.2,0.79
2020-03-09,48.62,2863.89,0.57
2020-03-10,60.23,2813.48,0.57
2020-03-11,64.49,2825.6,0.42
2020-03-12,68.0,2630.86,0.41
2020-03-13,80.57,2569.99,0.33
2020-03-16,69.87,2508.59,0.25
2020-03-17,103.09,2425.66,0.12
2020-03-18,92.46,2436.5,0.04
2020-03-19,98.77,2393.48,0.04
2020-03-20,85.52,2431.94,0.04
2020-03-23,90.13,2290.71,0.01
2020-03-24,68.82,2344.44,0.01
2020-03-25,81.99,2457.77,0.0
2020-03-26,74.4,2501.29,0.01
2020-03-27,82.63,2555.87,0.01
2020-03-30,72.14,2558.98,0.04
2020-03-31,61.02,2614.69,0.05
2020-04-01,68.87,2498.08,0.03
2020-04-02,58.78,2458.54,0.09
2020-04-03,51.16,2514.92,0.09
2020-04-06,45.56,2578.28,0.09
2020-04-07,45.6,2738.65,0.1
2020-04-08,44.87,2685.0,0.14
2020-04-09,42.96,2776.99,0.2
2020-04-13,46.43,2782.46,0.17
2020-04-14,39.63,2805.1,0.17
2020-04-15,44.25,2795.64,0.14
2020-04-16,41.62,2799.34,0.14
2020-04-17,40.22,2842.43,0.12
2020-04-20,43.25,2845.62,0.1
2020-04-21,46.37,2784.81,0.08
2020-04-22,42.8,2787.89,0.09
2020-04-23,38.65,2810.42,0.09
2020-04-24,37.27,2812.64,0.1
2020-04-27,33.89,2854.65,0.09
2020-04-28,29.77,2909.96,0.08
2020-04-29,30.39,2918.46,0.1
2020-04-30,32.45,2930.91,0.1
2020-05-01,37.64,2869.09,0.1
2020-05-04,40.13,2815.01,0.1
2020-05-05,33.5,2868.88,0.09
2020-05-06,30.98,2883.14,0.08
2020-05-07,30.08,2878.26,0.1
2020-05-08,27.36,2908.83,0.1
2020-05-11,30.04,2915.46,0.09
2020-05-12,24.55,2939.5,0.1
2020-05-13,32.32,2865.86,0.1
2020-05-14,37.74,2794.54,0.09
2020-05-15,33.41,2829.95,0.09
2020-05-18,27.52,2913.86,0.1
2020-05-19,27.81,2948.59,0.09
2020-05-20,25.14,2953.63,0.08
2020-05-21,24.84,2969.95,0.09
2020-05-22,26.08,2948.05,0.09
2020-05-26,25.16,3004.08,0.1
2020-05-27,24.93,3015.65,0.11
2020-05-28,26.19,3046.61,0.14
2020-05-29,28.71,3025.17,0.13
2020-06-01,30.41,3038.78,0.12
2020-06-02,27.27,3064.78,0.12
2020-06-03,25.1,3098.9,0.12
2020-06-04,24.27,3111.56,0.13
2020-06-05,21.97,3163.84,0.13
2020-06-08,24.95,3199.92,0.15
2020-06-09,25.87,3213.32,0.14
2020-06-10,26.93,3213.42,0.13
2020-06-11,32.39,3123.53,0.14
2020-06-12,37.47,3071.04,0.14
2020-06-15,44.5,2993.76,0.15
2020-06-16,34.75,3131.0,0.14
2020-06-17,35.47,3136.13,0.13
2020-06-18,36.04,3101.64,0.13
2020-06-19,29.68,3140.29,0.13
2020-06-22,34.84,3094.42,0.14
2020-06-23,30.03,3138.7,0.12
2020-06-24,31.77,3114.4,0.11
2020-06-25,33.29,3046.6,0.13
2020-06-26,30.94,3073.2,0.12
2020-06-29,34.86,3018.59,0.11
2020-06-30,31.16,3050.2,0.13
2020-07-01,28.07,3105.92,0.12
2020-07-02,23.38,3143.64,0.13
2020-07-06,25.8,3155.29,0.12
2020-07-07,25.92,3166.44,0.12
2020-07-08,25.89,3153.07,0.11
2020-07-09,23.35,3176.17,0.11
2020-07-10,26.11,3152.47,0.1
2020-07-13,24.85,3205.08,0.11
2020-07-14,31.44,3141.11,0.11
2020-07-15,26.67,3225.98,0.12
2020-07-16,26.64,3208.36,0.12
2020-07-17,24.11,3224.21,0.11
2020-07-20,24.66,3224.29,0.11
2020-07-21,22.46,3268.52,0.09
2020-07-22,23.93,3254.86,0.09
2020-07-23,22.28,3271.64,0.09
2020-07-24,26.93,3218.58,0.1
2020-07-27,25.25,3219.84,0.1
2020-07-28,23.15,3234.27,0.09
2020-07-29,23.0,3227.22,0.09
2020-07-30,25.26,3231.76,0.1
2020-07-31,22.83,3270.45,0.09
2020-08-03,22.48,3288.26,0.09
2020-08-04,21.28,3289.92,0.09
2020-08-05,20.03,3317.37,0.08
2020-08-06,19.96,3323.17,0.07
2020-08-07,20.79,3340.05,0.08
2020-08-10,20.09,3356.04,0.09
2020-08-11,18.45,3370.34,0.08
2020-08-12,19.22,3355.46,0.08
2020-08-13,19.4,3372.95,0.08
2020-08-14,19.49,3368.66,0.09
2020-08-17,19.54,3380.86,0.09
2020-08-18,17.88,3387.04,0.08
2020-08-19,17.97,3392.51,0.07
2020-08-20,21.91,3360.48,0.08
2020-08-21,19.72,3386.01,0.07
2020-08-24,19.68,3418.09,0.09
2020-08-25,19.49,3435.95,0.08
2020-08-26,18.16,3449.97,0.08
2020-08-27,19.28,3485.14,0.09
2020-08-28,20.86,3494.69,0.09
2020-08-31,20.64,3509.73,0.08
2020-09-01,20.97,3507.44,0.09
2020-09-02,19.94,3543.76,0.1
2020-09-03,21.52,3564.74,0.1
2020-09-04,30.21,3453.6,0.09
2020-09-08,38.28,3371.88,0.1
2020-09-09,30.43,3369.82,0.1
2020-09-10,27.49,3412.56,0.1
2020-09-11,28.53,3352.7,0.1
2020-09-14,26.62,3363.56,0.1
2020-09-15,24.36,3407.73,0.09
2020-09-16,24.36,3411.23,0.08
2020-09-17,28.37,3346.86,0.09
2020-09-18,24.57,3357.38,0.09
2020-09-21,31.09,3285.57,0.09
2020-09-22,27.77,3295.75,0.08
2020-09-23,25.44,3320.11,0.08
2020-09-24,28.06,3226.14,0.08
2020-09-25,27.6,3236.66,0.08
2020-09-28,26.37,3333.9,0.09
2020-09-29,26.26,3350.92,0.07
2020-09-30,25.64,3341.21,0.08
2020-10-01,25.14,3385.87,0.09
2020-10-02,27.44,3338.94,0.1
2020-10-05,25.36,3367.27,0.09
2020-10-06,23.07,3408.74,0.08
2020-10-07,23.36,3384.56,0.08
2020-10-08,21.62,3434.28,0.09
2020-10-09,19.55,3459.67,0.1
2020-10-12,20.04,3500.02,0.1
2020-10-13,20.33,3534.01,0.09
2020-10-14,21.52,3515.47,0.1
2020-10-15,24.41,3453.72,0.1
2020-10-16,21.51,3493.5,0.09
2020-10-19,23.41,3493.66,0.09
2020-10-20,24.51,3439.38,0.08
2020-10-21,24.9,3439.91,0.08
2020-10-22,24.95,3438.5,0.09
2020-10-23,24.85,3464.9,0.08
2020-10-26,30.91,3441.42,0.08
2020-10-27,36.59,3403.15,0.08
2020-10-28,44.13,3342.48,0.07
2020-10-29,47.74,3277.17,0.08
2020-10-30,44.09,3293.59,0.08
2020-11-02,45.46,3296.2,0.09
2020-11-03,42.42,3336.25,0.09
2020-11-04,43.2,3406.46,0.08
2020-11-05,32.5,3485.74,0.09
2020-11-06,27.7,3508.34,0.1
2020-11-09,23.96,3583.04,0.1
2020-11-10,26.75,3543.26,0.09
2020-11-11,24.43,3563.22,0.09
2020-11-12,22.26,3562.67,0.1
2020-11-13,22.0,3552.57,0.1
2020-11-16,21.01,3600.16,0.09
2020-11-17,19.31,3610.31,0.08
2020-11-18,18.79,3612.09,0.07
2020-11-19,19.65,3559.41,0.08
2020-11-20,19.32,3579.31,0.09
2020-11-23,19.9,3566.82,0.08
2020-11-24,19.58,3594.52,0.08
2020-11-25,18.4,3635.5,0.07
2020-11-27,17.15,3638.55,0.09
2020-11-30,18.33,3634.18,0.08
2020-12-01,19.83,3645.87,0.07
2020-12-02,19.87,3653.78,0.07
2020-12-03,19.32,3668.28,0.08
2020-12-04,19.37,3670.94,0.07
2020-12-07,17.97,3694.73,0.09
2020-12-08,18.7,3683.05,0.08
2020-12-09,18.03,3705.98,0.07
2020-12-10,21.32,3659.13,0.07
2020-12-11,19.67,3656.08,0.08
2020-12-14,20.4,3675.27,0.07
2020-12-15,23.67,3666.41,0.07
2020-12-16,20.19,3696.25,0.08
2020-12-17,18.83,3713.65,0.08
2020-12-18,18.59,3722.39,0.08
2020-12-21,16.73,3684.28,0.08
2020-12-22,21.65,3698.08,0.07
